station,jan_60,feb_60,mar_60,apr_60,may_60,jun_60,jul_60,aug_60,sep_60,oct_60,nov_60,dec_60
บางซื่อ,407394,393804,459304,387952,429761,463511,456940,302773,164614,148332,152166,134171
กำแพงเพชร,127461,126835,132333,128775,107238,121473,134978,132479,132701,132985,130121,148047
สวนจตุจักร,568661,552833,641153,561960,813812,603928,602430,665525,682854,653416,699916,658539
พหลโยธิน,522046,504924,574090,502383,738360,555900,552151,578694,563703,523164,560998,537489
ลาดพร้าว,514137,494548,567285,471926,797474,552532,536918,584035,568071,531724,571873,498594
รัชดาภิเษก,147377,142665,165562,131795,235920,163650,155744,169890,161063,145557,161478,140948
สุทธิสาร,382200,370355,417631,335416,613388,410597,392239,416081,400860,366390,406525,362635
ห้วยขวาง,529279,513750,579216,478380,779170,550502,539561,577043,552637,501724,557800,501013
ศูนย์วัฒนธรรมแห่งประเทศไทย,576084,560368,648184,538940,881666,643961,614968,668594,655485,592582,657355,650060
พระราม 9,761330,742701,861486,727820,1193982,838155,808395,858292,824146,764145,832048,780612
เพชรบุรี,625019,622913,703533,568002,974954,648110,631009,714151,696976,619821,725422,604196
สุขุมวิท,1177911,1172343,1337877,1108561,1789126,1280862,1220291,1323064,1269907,1181109,1280328,1202684
ศูนย์การประชุมแห่งชาติสิริกิติ์,272170,420653,470661,464945,513012,418729,332996,414773,413821,507732,364982,279723
คลองเตย,69947,70363,79125,63034,112320,74233,70292,78977,75271,67466,75993,69331
ลุมพินี,348201,329321,379223,290454,556312,361466,333586,374945,355790,311605,366143,313324
สีลม,653559,619227,701959,584165,967648,657801,620683,699040,671964,602609,674461,594151
สามย่าน,313410,307130,368727,282818,451870,307426,303250,349117,381100,322072,347470,271622
หัวลำโพง,484775,452491,473740,409203,580946,424202,436779,471327,443477,450850,485565,458129
